area	company	pay
강남구	식솔(soul)	15000
강남구	만화가게 V	6500
강동구	T라운드bar	30000
강남구	[자연별곡 강남역점]	7000
성북구	현대백화점 미아점	6030
송파구	커피베이 장지역점	6300
마포구	다르다카페/에니어그램코리아㈜	6100
강남구	스트릿츄러스 논현영동점	7320
중랑구	더 카페 이마트상봉점	6100
관악구	위즈홀딩스	6500
강남구	카발(CABAL)	7000
송파구	큐브이스케이프잠실점	6500
구로구	골든에이스피엠씨 ㈜	6030
동대문구	강남주유소	6400
동작구	cjcfitness	6100
강남구	드라마	50000
강남구	턴 리버 보드카페	10000
강동구	크리스탈	25000
강서구	블링 bar	25000
마포구	티에스에이치㈜	7000
강북구	wbar(더블유바)	15000
서대문구	두끼 이대점	6500
송파구	커피식스 쥬스식스 잠실점	6100
서대문구	육정성	7500
양천구	봉피양	8000
서초구	이랜드파크외식 반포 뉴코아 아울렛	7500
도봉구	이디야신창점	6200
성동구	위드미본점	6100
서초구	이랜드파크외식 반포 뉴코아 아울렛	7500
도봉구	이디야신창점	6200
성동구	위드미본점	6100
중구	맛을볶는사람들 석이네 약수점	6500
송파구	빌즈 잠실(bills Jamsil)	7000
구로구	대복주유소	6030
종로구	더테라스	7500
강남구	세탁특공대	12450
중구	비트포비아 동대문역사문화공원점	7500
용산구	생활맥주  용문점	6500
서초구	㈜에듀왕	10000
강남구	바디스페이스	7000
서초구	앨리스토리커피	6500
송파구	㈜프라이어스이노베이션	7000
용산구	GENIE PUB(지니펍)	7500
강남구	[자곡동 소야지] 소고기전문점	7000
강남구	맥주콜	7000
노원구	쥬씨 중계브라운스톤점	6500
강남구	휴(HUE)	30000
강동구	삼겹싸롱(천호로데오점)	6500
동대문구	댓잎갈비	7000
마포구	석봉토스트 상암IT점	6500
금천구	㈜엘솔컴퍼니	7000
은평구	한국복마무역	6500
송파구	이웃집소녀떡볶이 거여점	7000
서대문구	애슐리	7200
강서구	롯데리아 우장산역점	6030
마포구	더그리드	7000
강동구	더블유바	30000
강동구	더블유바	30000
양천구	BAR NANA	13000
동작구	전주전집	7500
강북구	모던 Bar ( i') 아이	18000
강서구	SEVEN7 BAR	30000
